name	code	description
void	0	"Nothing, do not try to use"
byte	1	"1-byte unsigned char"
int16	2	"Signed 2-byte integer"
int32	3	"Signed 4-byte integer"
float	4	"Single-precision 4-byte floating point number (IEEE)"
double	5	"Double-precision 8-byte floating point number (IEEE)"
julian	6	"Julian date, encoded using int32_t"
uint16	7	"Unsigned 2-byte integer"
uint32	8	"Unsigned 4-byte integer"
uint64	9	"Unsigned 8-byte integer"
string	10	"String in ISO 8859-1 character encoding"
int64	11	"Signed 8-byte integer"
dau_pack13	13	"HP proprietary data packing format (16 bits)"
dau_pack14	14	"HP proprietary data packing format (16 bits)"
dau_pack16	16	"Data buffer packing using 16 bit signed integers"
complex_float	20	"Complex data with float encoding"
complex_double	21	"Complex data with double encoding"
old_pack	23	"Data packed with Neuromag proprietary 'old pack' scheme"
ch_info_struct	30	"Structure describing measurement channel"
id_struct	31	"Globally unique indentifier"
dir_entry_struct	32	"FIFF directory entry structure"
dig_point_struct	33	"Digitization point structure"
ch_pos_struct	34	"Channel position structure"
coord_trans_struct	35	"Coordinate transformation structure"
dig_string_struct	36	"Digitization string structure"
stream_segment_struct	37	"Data stream segment structure"
