name	code	dtype	unit	description
file_id	100	id1.1	-	"Id of the file"
dir_pointer	101	int32	-	"Pointer to directory"
dir	102	int32	-	"Tag directory"
block_id	103	id1.1	-	"Id of a block"
block_start	104	int32	enum	"Start of a composite object (block)"
block_end	105	int32	enum	"End if composite object (block)"
free_list	106	int32	ord	"Pointer to fre block list."
free_block	107	void	-	"Unused space"
nop	108	void	-	"Reserved space"
parent_file_id	109	id1.1	-	"Id of the file from which this was generated"
parent_block_id	110	id1.1	-	"Id of a block from which this data is derived from"
block_name	111	string	-	"Name of a block"
block_version	112	string	-	"Version number of the block format of this block"
creator	113	string	-	"Program that created the file (string) "
modifier	114	string	-	"Program that modified the file (string)"
ref_role	115	enum(role)	-	"What is the role of this reference"
ref_file_id	116	id1.1	-	"File id of the referenced object"
ref_file_num	117	int32	ord	"File number of the referenced file"
ref_file_name	118	string	-	"Name hint for the refereced file"
ref_block_id	120	id1.1	-	"Id of a referenced block"
dacq_pars	150	string	-	"Megacq saves the parameters in these"
dacq_stim	151	string	-	"Megacq saves stimulus parameters in these"
device_type	152	string	-	"Device type from NM_DEVICE"
device_model	153	string	-	"Device model from NM_DEVICE_MODEL"
device_serial	154	string	-	"Device serial from NM_SERIAL_NUMBER"
device_site	155	string	-	"Device site from NM_SITE"
he_level_raw	156	float	-	"Helium level % before position correction"
helium_level	157	float	-	"Helium level % after position correction"
orig_file_guid	158	string	-	"Original file GUID"
utc_offset	159	string	-	"UTC offset of related meas_date (sHH:MM)"
nchan	200	int32	card	"Number of channels"
sfreq	201	float	Hz	"Sampling frequency (Hz)"
data_pack	202	int32	ord	"How the raw data is packed"
ch_info	203	ch_info_rec	-	"Channel descriptor"
meas_date	204	int32	uxtime	"Measurement date (in Unix time encoding)"
subject	205	string	-	"<obsolete>"
description	206	string	-	"(Textual) Description of an object"
nave	207	int32	card	"Number of averages"
first_sample	208	int32	ord	"The first sample of an epoch"
last_sample	209	int32	ord	"The last sample of an epoch"
aspect_kind	210	enum(aspect)	-	"Aspect label"
ref_event	211	int32	ord	"Reference event"
experimenter	212	string	-	"Experimenter name"
dig_point	213	dig_point	m	"Digitization point"
ch_pos_vec	214	ch_pos_rec	-	"Channel positions (obsolete)"
hpi_slopes	215	float*	T,T/m	"HPI data"
hpi_ncoil	216	int32	card	"Number of HPI coils"
req_event	217	int32	ord	"Required event"
req_limit	218	float	s	"Window for required event"
lowpass	219	float	Hz	"Analog lowpass"
bad_chs	220	int32*	ord	"List of bad channels"
artef_removal	221	int32	ord	"Artefact removal"
coord_trans	222	coor_trans_rec	-	"Coordinate transformation"
highpass	223	float	Hz	"Analog highpass"
ch_cals_vec	224	float*	rel	"Channel calibration (obsolete)"
hpi_bad_chs	225	int32*	ord	"List of channels considered to be bad in hpi"
hpi_corr_coeff	226	float*	rel	"Hpi curve fit correlations"
event_comment	227	string	-	"Comment about the events used in averaging"
no_samples	228	int32	card	"Number of samples in an epoch"
first_time	229	float	s	"Time scale minimum"
subave_size	230	int32	card	"Size of a subaverage"
subave_first	231	int32	ord	"The first epoch # contained in the subaverage"
name	233	string	-	"Intended to be a short name"
dig_string	234	dig_string	-	"String of digitized points"
line_freq	235	float	Hz	"Basic line interference frequency"
hpi_coil_freq	236	float	Hz	"HPI coil excitation frequency"
signal_channel	237	string	-	"Signal channel name"
hpi_coil_moments	240	float	T/m	"Estimated moment vectors for the HPI coil magnetic dipoles"
hpi_fit_goodness	241	float	%	"Three floats indicating the goodness of fit"
hpi_fit_accept	242	bitmask(hpi_accept)	-	"Bitmask indicating acceptance (see enum hpi_accept)"
hpi_fit_good_limit	243	float	%	"Limit for the goodness-of-fit"
hpi_fit_dist_limit	244	float	m	"Limit for the coil distance difference"
hpi_coil_no	245	int32	ord	"Coil number listed by HPI measurement"
